from,to ,death,team_1,team_2,motivation
a,adrger,1,1,0,0
a,geolec,1,2,4,0
a,roaamu,1,5,0,0
a,henarc,1,7,0,0
a,emidan,2,7,0,0
a,emirac,1,7,0,0
a,frecoo,1,10,8,0
a,antdob,1,7,0,0
a,julmel,1,6,0,0
a,hensom,1,9,0,0
a,maxrys,1,9,0,0
a,loumic,1,11,0,0
a,adatol,1,12,0,0
a,ludjoh,1,12,0,0
a,engknu,1,12,0,0
a,gusduf,1,12,0,0
a,jeamir,1,12,0,0
a,carwie,2,12,0,0
a,johkor,1,12,7,0
beroy,a,0,0,0,1
b,carbor,1,1,0,0
b,louber,1,7,0,0
b,wilcol,1,7,0,0
b,nichan,2,7,0,0
b,herklo,1,10,0,0
b,hugeva,1,7,0,0
b,antfou,1,7,0,0
b,kolell,1,11,14,0
b,olemus,1,13,0,0
b,persav,1,13,0,0
b,berjen,1,2,0,0
b,jorpet,2,4,0,0
b,hanhan,1,5,0,0
b,chrols,1,9,0,0
b,juljoh,1,9,0,0
b,hanuli,1,14,0,0
b,larand,1,12,0,0
b,klekle,1,14,0,0
b,johjah,1,11,0,0
b,framag,1,12,0,0
b,oscbja,1,12,0,0
b,ingsam,1,12,0,0
b,hanjoh,1,12,0,0
b,johand,1,12,0,0
b,ololar,1,12,0,0
b,larlar,1,12,0,0
b,adokar,1,12,0,0
b,axejoh,1,12,0,0
b,carbee,1,14,0,0
b,karbry,1,14,0,0
geonew,b,0,0,0,2
c,robsco,1,1,2,0
c,albarm,1,3,0,0
c,charoy,1,4,0,0
c,micbar,1,5,0,0
c,ernsha,1,6,0,0
c,geomul,1,6,0,0
c,regske,1,9,8,0
c,regkoe,1,10,7,0
c,edwwil,1,10,0,0
c,thohod,1,7,0,0
c,harfer,1,7,0,0
c,louber,1,7,0,0
c,thofea,1,14,0,0
c,jamdel,1,9,0,0
c,fredai,1,14,0,0
c,chafor,1,14,0,0
c,jaccro,1,14,0,0
c,edgeva,1,14,0,0
c,wilsmy,1,14,0,0
c,davall,1,14,0,0
c,thoken,1,14,0,0
c,wilmac,1,14,0,0
c,gilsco,1,14,0,0
c,artbli,1,14,0,0
c,wilcla,1,11,0,0
c,clahar,1,14,0,0
c,horbuc,1,7,0,0
c,artpil,1,12,0,0
c,wilhea,1,12,0,0
c,jamdel1,1,12,9,0
c,frawil,1,12,0,0
c,thowil,1,12,0,0
c,geocro,1,12,0,0
c,ernjoy,1,12,0,0
c,thocre,1,12,0,0
c,jeshan,1,12,0,0
c,wilwel,1,13,0,0
c,wilpet,1,12,0,0
c,johwal,1,12,0,0
c,jamdun,1,12,14,0
c,henbre,1,11,0,0
c,geovin,2,12,0,0
c,chabon,2,12,0,0
c,willas,1,14,0,0
c,artqua,1,14,0,0
c,thowhi,1,14,0,0
c,fraplu,1,14,0,0
c,wilpag,1,14,0,0
c,wilhub,1,9,0,0
brgov,c,0,0,0,1
llelon,c,0,0,0,3
rgs,c,0,0,0,2
alfhar,c,0,0,0,3
q,ernsha,2,1,0,0
q,frawil,1,3,0,0
q,frawor,1,2,0,0
q,aleker,1,9,0,0
q,jammci,1,10,7,0
q,alemac,1,10,14,0
q,leohus,1,7,10,0
q,chagre,1,11,0,0
q,thomcl,1,12,0,0
q,rodcar,1,7,0,0
q,jamdel1,1,9,0,0
q,hubwil,1,7,0,0
q,geodou,1,7,0,0
q,jammar,1,15,0,0
q,normoo,1,15,0,0
q,doujef,1,15,0,0
q,eeeeri,1,13,0,0
q,johbee,1,8,0,0
q,cccsmi,1,9,0,0
q,harwat,1,9,0,0
q,gggross,1,14,0,0
q,sssyou,1,14,0,0
q,hararg,1,14,0,0
q,chrnai,1,11,0,0
johrow,q,0,0,0,3
jeacha,g,1,1,10,0
edosim,g,0,0,0,2
bes,g,1,12,0,0
echo,g,1,2,0,0
pday,g,1,15,0,0
erngou,g,1,7,0,0
gou,g,1,9,0,0
fgue,g,1,14,0,0
jgue,g,1,12,0,0
fher,g,1,12,0,0
jjab,g,1,12,0,0
lib,g,1,14,9,0
amat,g,1,3,7,0
robpau,g,1,16,0,0
pauple,g,1,8,0,0
lpos,g,1,9,0,0
rayral,g,1,15,0,0
jrey,g,1,7,0,0
frol,g,1,12,0,0
mroz,g,1,11,0,0
jtur,g,1,7,0,0
mai,g,2,12,0,0
jbon,g,1,0,0,0
adrger,g,1,12,0,0
per,g,1,0,0,0
roaamu,k,1,1,0,0
stor,k,0,0,0,1
normar,k,0,0,0,1
norroy,k,0,0,0,1
petchr,k,0,0,0,3
prispek,k,0,0,0,3
helhan,k,1,13,15,0
swehas,k,1,13,15,0
olabja,k,1,12,0,0
oscwis,k,1,15,0,0
kripre,k,1,15,5,0
frejoh,k,1,13,0,0
jorstu,k,1,14,0,0
adolin,k,1,11,14,0
thonil,k,1,2,3,0
fregje,k,1,4,0,0
ludhan,k,1,12,15,0
marron,k,1,14,15,0
andbec,k,1,12,15,0
knusun,k,1,9,0,0
jacnod,k,1,9,0,0
alekut,k,1,7,0,0
karols,k,1,11,14,0
halkri,k,1,12,9,0
prispeh,h,0,0,0,3
wilbea,h,0,0,0,3
edwgui,h,0,0,0,3
ausgov,h,0,0,0,1
neugov,h,0,0,0,1
ernsha,h,1,1,0,0
jamada,h,1,3,7,0
frawil,h,1,11,0,0
erimar,h,1,10,7,0
tandav,h,1,7,0,0
doumaw,h,1,7,0,0
alimac,h,1,10,0,0
berarm,h,1,13,0,0
phibro,h,1,7,0,0
rapri,h,1,7,0,0
ernjoy,h,1,13,0,0
geomar,h,1,8,0,0
jammur,h,1,7,0,0
berday,h,1,14,0,0
wilrob,h,1,11,0,0
rupeng,h,1,2,0,0
freeva,h,1,2,0,0
johdav,h,1,4,2,0
aenmac,h,1,15,14,0
arthar,h,1,5,4,0
sydric,h,1,5,0,0
alfche,h,1,6,0,0
hendun,h,1,9,0,0
chrcra,h,1,9,0,0
davnel,h,1,9,0,0
chahun,h,1,9,0,0
hugmcg,h,1,9,0,0
wilmic,h,1,10,0,0
jhan,h,1,16,0,0
wilans,h,1,16,0,0
murmcr,h,1,16,0,0
johmon,h,1,11,0,0
edwmor,h,1,14,0,0
micmcg,h,1,14,0,0
wilmey,h,1,14,0,0
walbil,h,1,14,0,0
jampat,h,1,12,0,0
freabr,h,1,12,0,0
vicber,h,1,12,0,0
johbro,h,1,12,0,0
alfbul,h,1,12,0,0
harbul,h,1,12,0,0
ernell,h,1,12,0,0
geokem,h,1,12,0,0
johmcm,h,1,12,0,0
ricnod,h,1,12,0,0
ernrey,h,1,12,0,0
groo,h,1,12,0,0
walspi,h,1,12,0,0
wwil,h,1,12,0,0
ddon,h,1,14,0,0
hhol,h,1,14,0,0
robmcn,h,1,14,0,0
johpar,h,1,14,0,0
sidric,h,1,14,0,0
felroo,h,1,14,0,0
asch,h,1,14,0,0
mvau,h,1,14,0,0
geobuc,h,1,12,0,0
leocot,h,1,7,0,0
alfrei,h,1,12,0,0
herdor,h,1,12,0,0
joskin,h,1,12,0,0
brgov,n,0,0,0,1
rgs,n,0,0,0,2
brispe,n,0,0,0,0
ausbure,n,0,0,0,1
ausbusta,n,0,0,0,1
prispen,n,0,0,0,0
edwbag,n,1,7,15,0
franbic,n,1,9,0,0
johclo,n,1,12,7,0
percor,n,1,9,7,0
walhan,n,1,7,15,0
alfhod,n,1,8,7,0
johhun,n,1,7,0,0
jamhur,n,1,8,0,0
sidjef,n,1,9,0,0
chalas,n,1,7,0,0
cecmad,n,1,7,13,0
doumaw,n,1,1,7,0
arcmcl,n,1,10,7,0
xavmer,n,2,13,0,0
hermur,n,1,12,3,0
belnin,n,2,13,0,0
frasti,n,1,7,0,0
eriweb,n,1,7,0,0
leswhe,n,1,10,0,0
chadov,n,1,15,0,0
chahar,n,1,7,8,0
chahoa,n,1,7,0,0
sydjon,n,1,10,0,0
aleken,n,1,7,15,0
mormoy,n,1,7,0,0
andwat,n,1,7,0,0
frawil,n,1,2,0,0
geoain,n,1,3,7,0
lesbla,n,1,15,7,0
harham,n,1,7,0,0
chasan,n,1,9,0,0
artsaw,n,1,9,0,0
johbla,n,1,4,0,0
johdav,n,1,2,3,0
frefle,n,1,4,0,0
fregil,n,1,9,0,0
pergra,n,1,5,15,0
clamot,n,1,6,0,0
nortou,n,1,4,0,0
jamdav,n,1,13,0,0
ceit,n,1,12,0,0
tfly,n,1,7,0,0
ewait,n,1,7,0,0
jwat,n,1,8,0,0
m,wilfil,1,1,7,0
m,eriprz,1,7,0,0
m,eribar,1,7,0,0
m,wilbre,1,7,0,0
m,frihei,1,7,0,0
m,felkon,1,7,0,0
m,ricvah,2,2,0,0
m,alfkli,1,7,12,0
m,ludkoh,1,10,0,0
m,wilgoe,1,10,0,0
m,willor,1,4,3,0
